Prodotto,Quantità,Prezzo Unitario,Città
Laptop,12,1250.50,Milano
Smartphone,7,799.99,Roma
Tablet,5,450.00,Napoli
Cuffie,15,99.95,Torino
Mouse,20,25.50,Firenze
Tastiera,10,49.99,Bologna
Monitor,8,299.90,Genova
Stampante,3,150.00,Venezia
Smartwatch,9,200.00,Milano
Speaker,14,120.75,Roma
Router,6,80.20,Napoli
Hard Disk,11,70.50,Torino
Webcam,13,60.00,Firenze
Microfono,7,89.90,Bologna
Chiavetta USB,18,15.00,Genova
SSD,5,110.00,Venezia
Scheda Grafica,3,499.99,Milano
Altoparlante Bluetooth,10,130.00,Roma
Cavo HDMI,20,10.50,Napoli
Zaino Laptop,8,75.25,Torino
Laptop,6,1199.99,Firenze
Smartphone,10,849.50,Bologna
Tablet,7,470.00,Genova
Cuffie,12,95.00,Venezia
Mouse,14,27.50,Milano
Tastiera,9,55.00,Roma
Monitor,5,310.00,Napoli
Stampante,4,140.00,Torino
Smartwatch,8,205.00,Firenze
Speaker,16,115.00,Bologna
Router,7,85.00,Genova
Hard Disk,12,75.00,Venezia
Webcam,10,65.00,Milano
Microfono,6,92.00,Roma
Chiavetta USB,19,14.50,Napoli
SSD,4,120.00,Torino
Scheda Grafica,2,520.00,Firenze
Altoparlante Bluetooth,11,135.00,Bologna
Cavo HDMI,18,11.00,Genova
Zaino Laptop,9,78.00,Venezia
Laptop,5,1300.00,Milano
Smartphone,8,820.00,Roma
Tablet,6,460.00,Napoli
Cuffie,14,100.00,Torino
Mouse,17,26.50,Firenze
Tastiera,11,50.00,Bologna
Monitor,9,305.00,Genova
Stampante,3,155.00,Venezia
Smartwatch,10,210.00,Milano
Speaker,13,125.00,Roma
Router,5,82.00,Napoli
Hard Disk,10,72.00,Torino
Webcam,12,63.00,Firenze
Microfono,8,88.00,Bologna
Chiavetta USB,15,16.00,Genova
SSD,6,115.00,Venezia
Scheda Grafica,4,510.00,Milano
Altoparlante Bluetooth,12,132.00,Roma
Cavo HDMI,19,12.00,Napoli
Zaino Laptop,7,77.00,Torino
Laptop,7,1240.00,Firenze
Smartphone,9,830.00,Bologna
Tablet,8,455.00,Genova
Cuffie,11,97.00,Venezia
Mouse,18,28.00,Milano
Tastiera,12,52.00,Roma
Monitor,6,308.00,Napoli
Stampante,5,148.00,Torino
Smartwatch,9,208.00,Firenze
Speaker,15,118.00,Bologna
Router,8,87.00,Genova
Hard Disk,13,74.00,Venezia
Webcam,11,64.00,Milano
Microfono,7,90.00,Roma
Chiavetta USB,16,15.50,Napoli
SSD,5,118.00,Torino
Scheda Grafica,3,505.00,Firenze
Altoparlante Bluetooth,10,138.00,Bologna
Cavo HDMI,20,11.50,Genova
Zaino Laptop,8,76.00,Venezia
Laptop,6,1275.00,Milano
Smartphone,10,810.00,Roma
Tablet,7,468.00,Napoli
Cuffie,13,96.00,Torino
Mouse,16,26.00,Firenze
Tastiera,10,53.00,Bologna
Monitor,7,302.00,Genova
Stampante,4,152.00,Venezia
Smartwatch,11,212.00,Milano
Speaker,14,122.00,Roma
Router,6,83.00,Napoli
Hard Disk,12,73.00,Torino
Webcam,13,66.00,Firenze
Microfono,9,91.00,Bologna
Chiavetta USB,17,15.75,Genova
SSD,4,119.00,Venezia
Scheda Grafica,2,515.00,Milano
Altoparlante Bluetooth,11,134.00,Roma
Cavo HDMI,18,12.50,Napoli
Zaino Laptop,9,79.00,Torino
